Name	Description	SourceMTOverride	SourceMTOverride	Characteristics [continent]	Characteristics [country]	Characteristics [city]	Characteristics [organism]	Characteristics [fungus organism]	specimen collection year	Characteristics [specimen]	Characteristics[fungal strain]
ST16CH_1E43	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Eschikon	Triticum aestivum	Zymoseptoria tritici	2016	spore	Zymoseptoria tritici ST16CH_1E43
ST16CH_1E52	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Eschikon	Triticum aestivum	Zymoseptoria tritici	2016	spore	Zymoseptoria tritici ST16CH_1E52
ST16CH_1E70	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Eschikon	Triticum aestivum	Zymoseptoria tritici	2016	spore	Zymoseptoria tritici ST16CH_1E70
ST16CH_1F1	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Eschikon	Triticum aestivum	Zymoseptoria tritici	2016	spore	Zymoseptoria tritici ST16CH_1F1
ST16CH_1F11	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Eschikon	Triticum aestivum	Zymoseptoria tritici	2016	spore	Zymoseptoria tritici ST16CH_1F11
ST16CH_1F19	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Eschikon	Triticum aestivum	Zymoseptoria tritici	2016	spore	Zymoseptoria tritici ST16CH_1F19
ST16CH_1F4	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Eschikon	Triticum aestivum	Zymoseptoria tritici	2016	spore	Zymoseptoria tritici ST16CH_1F4
ST16CH_1G30	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Eschikon	Triticum aestivum	Zymoseptoria tritici	2016	spore	Zymoseptoria tritici ST16CH_1G30
ST16CH_1G47	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Eschikon	Triticum aestivum	Zymoseptoria tritici	2016	spore	Zymoseptoria tritici ST16CH_1G47
ST16CH_1G8	Population sequencing of Zymoseptoria tritici from infected wheat fields			Europe	Switzerland	 Eschikon	Triticum aestivum	Zymoseptoria tritici	2016	spore	Zymoseptoria tritici ST16CH_1G8
