Name	Description	SourceMTOverride	SourceMTOverride	Characteristics [fungus organism]	Characteristics [fungal strain]
NCYC2695	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC2695
NCYC2402	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC2402
NCYC430	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC430
NCYC356	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC356
NCYC358	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC358
NCYC996	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC996
NCYC2401	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC2401
NCYC491	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC491
NCYC241	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC241
NCYC2517	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC2517
NCYC479	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC479
NCYC619	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC619
NCYC3449	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC3449
NCYC76	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC76
NCYC74	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC74
NCYC91	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC91
NCYC75	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC75
NCYC1228	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC1228
NCYC505	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC505
NCYC93	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC93
NCYC1681	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC1681
NCYC92	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC92
NCYC77	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC77
NCYC87	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC87
NCYC95	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC95
NCYC97	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC97
NCYC3324	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC3324
NCYC3123	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC3123
NCYC2967	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC2967
NCYC3038	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC3038
NCYC3026	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC3026
NCYC3325	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC3325
NCYC3333	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC3333
NCYC2780	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC2780
NCYC3076	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC3076
NCYC3122	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC3122
NCYC3326	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC3326
NCYC2974	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC2974
NCYC3124	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC3124
NCYC3077	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC3077
NCYC2779	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC2779
NCYC3039	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC3039
NCYC3338	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC3338
NCYC3037	SNP calls on WGS of Saccharomyces cerevisiae strains from the National Collection of Yeast Culture (Norwich, U.K.)			Saccharomyces cerevisiae	Saccharomyces cerevisiae NCYC3037
