Name	Description	SourceMTOverride	SourceMTOverride	Characteristics [specimen]	Characteristics[country]	Characteristics [continent]	Characteristics [city]	Characteristics [specimen]	Characteristics [organism]	Characteristics [fungus organism]	Characteristics [fungal strain]
CEC3553				cell culture	Belgium	Europe	n/a	Gastro-intestinal tract	Homo sapiens	Candida albicans	Candida albicans CEC3553
CEC3554				cell culture	France	Europe	Paris	urine	Homo sapiens	Candida albicans	Candida albicans CEC3554
CEC3555				cell culture	France	Europe	Paris	blood	Homo sapiens	Candida albicans	Candida albicans CEC3555
CEC3556				cell culture	Morocco	Africa	n/a	Vagina	Homo sapiens	Candida albicans	Candida albicans CEC3556
CEC3557				cell culture	Belgium	Europe	n/a	feces	Homo sapiens	Candida albicans	Candida albicans CEC3557
CEC3558				cell culture	Belgium	Europe	n/a	Mouth	Homo sapiens	Candida albicans	Candida albicans CEC3558
CEC3559				cell culture	France	Europe	Paris	urine	Homo sapiens	Candida albicans	Candida albicans CEC3559
CEC5026				cell culture	United Kingdom	Europe	Epsom	Vagina	Homo sapiens	Candida albicans	Candida albicans CEC5026
CEC5025				cell culture	United Kingdom	Europe	Bangor	Vagina	Homo sapiens	Candida albicans	Candida albicans CEC5025
CEC5024				cell culture	United Kingdom	Europe	Crewe	Vagina	Homo sapiens	Candida albicans	Candida albicans CEC5024
CEC5023				cell culture	United Kingdom	Europe	Crewe	Vagina	Homo sapiens	Candida albicans	Candida albicans CEC5023
CEC5022				cell culture	United Kingdom	Europe	Portsmouth	Genital	Homo sapiens	Candida albicans	Candida albicans CEC5022
CEC5021				cell culture	United Kingdom	Europe	Bath	Vagina	Homo sapiens	Candida albicans	Candida albicans CEC5021
CEC5020				cell culture	United Kingdom	Europe	Ipswich	Genital	Homo sapiens	Candida albicans	Candida albicans CEC5020
CEC5019				cell culture	United Kingdom	Europe	Wrexham	Vagina	Homo sapiens	Candida albicans	Candida albicans CEC5019
CEC4946				cell culture	India	Asia	n/a	Vagina	Homo sapiens	Candida albicans	Candida albicans CEC4946
CEC4945				cell culture	India	Asia	n/a	Vagina	Homo sapiens	Candida albicans	Candida albicans CEC4945
CEC2018				cell culture	France	Europe	Paris	urine	Homo sapiens	Candida albicans	Candida albicans CEC2018
