Name	Description	SourceMTOverride	SourceMTOverride	specimen collector	Specimen Collection Date	Characteristics[country]	Characteristics [continent]	Characteristics[city]	Characteristics[city]	Characteristics [organism]	Characteristics[environmental specimen]	Characteristics [fungus organism]	alternative sample ID	Characteristics [fungal strain]
NY_363				Gary Bergstrom	1991	USA	North America	 Ithaca	 New York	wheat	leaf	Parastagonospora nodorum	SN363NY91	Parastagonospora nodorum NY_363
82_4841				Joseph Krupinsky	1982	USA	North America	 Fargo	 North Dakota	smoothe bromegrass	leaf	Parastagonospora nodorum	82-4841	Parastagonospora nodorum 82_4841
CH_1B5A				Bruce A. McDonald and Vincent Michel	1999	Switzerland	Europe	 Winterthur	 Zurich Kanton	wheat	leaf	Parastagonospora nodorum	SN99CH_1B5A	Parastagonospora nodorum CH_1B5A
CH_1B2A				Bruce A. McDonald and Vincent Michel	1999	Switzerland	Europe	 Winterthur	 Zurich Kanton	wheat	leaf	Parastagonospora nodorum	SN99CH_1B2A	Parastagonospora nodorum CH_1B2A
CH_1A3A				Bruce A. McDonald and Vincent Michel	1999	Switzerland	Europe	 Winterthur	 Zurich Kanton	wheat	leaf	Parastagonospora nodorum	SN99CH_1A3A	Parastagonospora nodorum CH_1A3A
CH_1B10A				Bruce A. McDonald and Vincent Michel	1999	Switzerland	Europe	 Winterthur	 Zurich Kanton	wheat	leaf	Parastagonospora nodorum	SN99CH_1B10A	Parastagonospora nodorum CH_1B10A
CH_1C5A				Bruce A. McDonald and Vincent Michel	1999	Switzerland	Europe	 Winterthur	 Zurich Kanton	wheat	leaf	Parastagonospora nodorum	SN99CH_1C5A	Parastagonospora nodorum CH_1C5A
CH_1C3A				Bruce A. McDonald and Vincent Michel	1999	Switzerland	Europe	 Winterthur	 Zurich Kanton	wheat	leaf	Parastagonospora nodorum	SN99CH_1C3A	Parastagonospora nodorum CH_1C3A
CH_1B9A				Bruce A. McDonald and Vincent Michel	1999	Switzerland	Europe	 Winterthur	 Zurich Kanton	wheat	leaf	Parastagonospora nodorum	SN99CH_1B9A	Parastagonospora nodorum CH_1B9A
SA_14				Pedro Crous	1995	South Africa	Africa	 Gouda area	 Southwestern Cape	wheat	leaf	Parastagonospora nodorum	SNSA95_14	Parastagonospora nodorum SA_14
