Name	Description	SourceMTOverride	SourceMTOverride	specimen collector	Specimen Collection Date	Characteristics[country]	Characteristics [continent]	Characteristics [specimen]	latitude	longitude	Characteristics [fungus organism]	Characteristics [fungal strain]
C-1-90L-1	SNP calls on WGS of clinical and environmental Aspergillus fumigatus in Germany			Amelia E. Barber	7/5/16	Germany	Europe	soil	50.908802 N	11.572552 E	Aspergillus fumigatus	Aspergillus fumigatus C-1-90L-1
G-2-22-4	SNP calls on WGS of clinical and environmental Aspergillus fumigatus in Germany			Amelia E. Barber	5/18/16	Germany	Europe	soil	50.908802 N	11.572552 E	Aspergillus fumigatus	Aspergillus fumigatus G-2-22-4
H-1-26-1	SNP calls on WGS of clinical and environmental Aspergillus fumigatus in Germany			Amelia E. Barber	5/20/17	Germany	Europe	soil	50.908802 N	11.572552 E	Aspergillus fumigatus	Aspergillus fumigatus H-1-26-1
C-1-24L-3	SNP calls on WGS of clinical and environmental Aspergillus fumigatus in Germany			Amelia E. Barber	4/8/16	Germany	Europe	soil	50.908802 N	11.572552 E	Aspergillus fumigatus	Aspergillus fumigatus C-1-24L-3
F-1-14-1	SNP calls on WGS of clinical and environmental Aspergillus fumigatus in Germany			Amelia E. Barber	4/27/16	Germany	Europe	soil	50.908802 N	11.572552 E	Aspergillus fumigatus	Aspergillus fumigatus F-1-14-1
A-2-48s-2	SNP calls on WGS of clinical and environmental Aspergillus fumigatus in Germany			Amelia E. Barber	7/13/16	Germany	Europe	soil	50.908802 N	11.572552 E	Aspergillus fumigatus	Aspergillus fumigatus A-2-48s-2
I-1-49-3	SNP calls on WGS of clinical and environmental Aspergillus fumigatus in Germany			Amelia E. Barber	5/20/16	Germany	Europe	soil	50.908802 N	11.572552 E	Aspergillus fumigatus	Aspergillus fumigatus I-1-49-3
I-1-48-3	SNP calls on WGS of clinical and environmental Aspergillus fumigatus in Germany			Amelia E. Barber	5/20/16	Germany	Europe	soil	50.908802 N	11.572552 E	Aspergillus fumigatus	Aspergillus fumigatus I-1-48-3
H-1-23-3	SNP calls on WGS of clinical and environmental Aspergillus fumigatus in Germany			Amelia E. Barber	5/20/17	Germany	Europe	soil	50.908802 N	11.572552 E	Aspergillus fumigatus	Aspergillus fumigatus H-1-23-3
H-1-10-6	SNP calls on WGS of clinical and environmental Aspergillus fumigatus in Germany			Amelia E. Barber	5/20/17	Germany	Europe	soil	50.908802 N	11.572552 E	Aspergillus fumigatus	Aspergillus fumigatus H-1-10-6
C-1-66L-3	SNP calls on WGS of clinical and environmental Aspergillus fumigatus in Germany			Amelia E. Barber	7/5/16	Germany	Europe	soil	50.908802 N	11.572552 E	Aspergillus fumigatus	Aspergillus fumigatus C-1-66L-3
