Name	Description	SourceMTOverride	SampleMTOverride	Specimen Collection Date	Characteristics [country]	Characteristics [continent]	Characteristics [city]	Characteristics [host_common_name]	Characteristics [specimen]	Characteristics [health_status]	Characteristics [fungus organism]	Characteristics [fungal strain]
B16510	Aligned genome sequence reads - Candida auris clinical isolates			21-Apr-17	Kenya	Africa		Homo sapiens	urine	Candida infection or colonization	Candida auris	Candida auris B16510
B16432	Aligned genome sequence reads - Candida auris clinical isolates			17-Dec-13	Kenya	Africa		Homo sapiens	blood	Candidemia	Candida auris	Candida auris B16432
B16507	Aligned genome sequence reads - Candida auris clinical isolates			17-Dec-13	Kenya	Africa		Homo sapiens	blood	Candidemia	Candida auris	Candida auris B16507
B16504	Aligned genome sequence reads - Candida auris clinical isolates			23-Oct-17	Kenya	Africa		Homo sapiens	urine	Candida infection or colonization	Candida auris	Candida auris B16504
B16503	Aligned genome sequence reads - Candida auris clinical isolates			21-May-17	Kenya	Africa		Homo sapiens	W/ SWAB	Candida infection or colonization	Candida auris	Candida auris B16503
B16496	Aligned genome sequence reads - Candida auris clinical isolates			5-Nov-13	Kenya	Africa		Homo sapiens	blood	Candidemia	Candida auris	Candida auris B16496
B16491	Aligned genome sequence reads - Candida auris clinical isolates			2-Oct-17	Kenya	Africa		Homo sapiens	urine	Candida infection or colonization	Candida auris	Candida auris B16491
B16490	Aligned genome sequence reads - Candida auris clinical isolates			2-Feb-17	Kenya	Africa		Homo sapiens	blood	Candidemia	Candida auris	Candida auris B16490
B16487	Aligned genome sequence reads - Candida auris clinical isolates			11-Oct-16	Kenya	Africa		Homo sapiens	ASCITIC	Candida infection or colonization	Candida auris	Candida auris B16487
B16485	Aligned genome sequence reads - Candida auris clinical isolates			5-Nov-13	Kenya	Africa		Homo sapiens	blood	Candidemia	Candida auris	Candida auris B16485
B16484	Aligned genome sequence reads - Candida auris clinical isolates			21-Mar-16	Kenya	Africa		Homo sapiens	urine	Candida infection or colonization	Candida auris	Candida auris B16484
B16482	Aligned genome sequence reads - Candida auris clinical isolates			2-Mar-16	Kenya	Africa		Homo sapiens	blood	Candidemia	Candida auris	Candida auris B16482
B16481	Aligned genome sequence reads - Candida auris clinical isolates			27-Feb-16	Kenya	Africa		Homo sapiens	blood	Candidemia	Candida auris	Candida auris B16481
B16479	Aligned genome sequence reads - Candida auris clinical isolates			8-Feb-16	Kenya	Africa		Homo sapiens	blood	Candidemia	Candida auris	Candida auris B16479
B16477	Aligned genome sequence reads - Candida auris clinical isolates			15-Nov-15	Kenya	Africa		Homo sapiens	blood	Candidemia	Candida auris	Candida auris B16477
B16473	Aligned genome sequence reads - Candida auris clinical isolates			27-Jul-15	Kenya	Africa		Homo sapiens	PLEURAL	Candida infection or colonization	Candida auris	Candida auris B16473
B16472	Aligned genome sequence reads - Candida auris clinical isolates			4-Jul-15	Kenya	Africa		Homo sapiens	urine	Candida infection or colonization	Candida auris	Candida auris B16472
B16469	Aligned genome sequence reads - Candida auris clinical isolates			9-Feb-15	Kenya	Africa		Homo sapiens	blood	Candidemia	Candida auris	Candida auris B16469
B16467	Aligned genome sequence reads - Candida auris clinical isolates			2-Feb-15	Kenya	Africa		Homo sapiens	blood	Candidemia	Candida auris	Candida auris B16467
B16466	Aligned genome sequence reads - Candida auris clinical isolates			21-Jan-15	Kenya	Africa		Homo sapiens	blood	Candidemia	Candida auris	Candida auris B16466
