Name	Description	SourceMTOverride	SampleMTOverride	Characteristics [country]	Characteristics [city]	specimen collection year	Characteristics [parasite organism]	Characteristics [parasite strain]	Characteristics [organism]	Characteristics [host_common_name]	
BHU797_0	Genomic diversity in Leishmania donovani in Indian subcontinent			India	Bihar,Muzaffarpur, Kalbari, Kanti, Madhuban	2010	Leishmania donovani	Leishmania donovani BHU797_0	Homo sapiens	human
BHU798_0	Genomic diversity in Leishmania donovani in Indian subcontinent			India	Bihar,Rupan	2010	Leishmania donovani	Leishmania donovani BHU798_0	Homo sapiens	human
BHU800_1	Genomic diversity in Leishmania donovani in Indian subcontinent			India	Bihar,Muzaffarpur, sahebganj, rajwara, Rajwara purvi tola	2010	Leishmania donovani	Leishmania donovani BHU800_1	Homo sapiens	human
BHU808_0	Genomic diversity in Leishmania donovani in Indian subcontinent			India	Bihar,Muzaffarpur,Baruraj , Chaur Ghata, Bakhari	2010	Leishmania donovani	Leishmania donovani BHU808_0	Homo sapiens	human
BHU815_0	Genomic diversity in Leishmania donovani in Indian subcontinent			India	Bihar,Muzaffarpur,Baruraj , Birhima	2010	Leishmania donovani	Leishmania donovani BHU815_0	Homo sapiens	human
BHU816_1	Genomic diversity in Leishmania donovani in Indian subcontinent			India	Bihar,Muzaffarpur,Minapur, Tnaraha, Koyali Baraw	2010	Leishmania donovani	Leishmania donovani BHU816_1	Homo sapiens	human
BHU824_0	Genomic diversity in Leishmania donovani in Indian subcontinent			India	Bihar,Muzaffarpur,Bochaha, Chambuk,Wazidpur	2010	Leishmania donovani	Leishmania donovani BHU824_0	Homo sapiens	human
BHU828_0	Genomic diversity in Leishmania donovani in Indian subcontinent			India	Bihar, Muzaffarpur, Barji, Motipur, Baraji	2010	Leishmania donovani	Leishmania donovani BHU828_0	Homo sapiens	human
BHU844_0	Genomic diversity in Leishmania donovani in Indian subcontinent			India	Bihar, Muzaffarpur, Mirzapur, Ahiyapur, Patiyasa	2010	Leishmania donovani	Leishmania donovani BHU844_0	Homo sapiens	human
BHU850_0	Genomic diversity in Leishmania donovani in Indian subcontinent			India	Bihar, Muzaffarpur, Patahi, Karza, Pakri Pakohi	2010	Leishmania donovani	Leishmania donovani BHU850_0	Homo sapiens	human
BHU869_0	Genomic diversity in Leishmania donovani in Indian subcontinent			India	Bihar, Muzaffarpur, Rajla, Kudhani, Fatehpur	2010	Leishmania donovani	Leishmania donovani BHU869_0	Homo sapiens	human
BHU872_6	Genomic diversity in Leishmania donovani in Indian subcontinent			India	Bihar, Muzaffarpur, Motipur, Motipur, Singhwari	2010	Leishmania donovani	Leishmania donovani BHU872_6	Homo sapiens	human
BHU889_0	Genomic diversity in Leishmania donovani in Indian subcontinent			India	Bihar, Muzaffarpur, Paru, Saraiya, Chandan Ratwara	2010	Leishmania donovani	Leishmania donovani BHU889_0	Homo sapiens	human
BHU902_1	Genomic diversity in Leishmania donovani in Indian subcontinent			India	Bihar, Muzaffarpur, Marwan, Karja, Mukdumpur Kodariya	2010	Leishmania donovani	Leishmania donovani BHU902_1	Homo sapiens	human
BHU906_0	Genomic diversity in Leishmania donovani in Indian subcontinent			India	Bihar, Muzaffarpur, Pakri, Karja, Pakri Pakohi	2010	Leishmania donovani	Leishmania donovani BHU906_0	Homo sapiens	human
