name	description	sourcemtoverride	samplemtoverride	body_habitat	body_product	body_site	elevation	env_biome	env_feature	env_matter	geo_loc_name	host_subject_id	latitude	longitude	region	sample_type	sequencecenter	title
1927.SRS055981.SRX020568.SRR046933	Sample 1927.SRS055981.SRX020568.SRR046933			UBERON:vagina	UBERON:mucus	UBERON:posterior fornix of vagina	97	urban biome	human-associated habitat		USA	700105796	39	-77	V1-V3	Vaginal swab	WUGSC	Structure, function and diversity of the healthy human microbiome (V13)
1927.SRS055987.SRX020670.SRR046233	Sample 1927.SRS055987.SRX020670.SRR046233			UBERON:oral cavity	UBERON:saliva	UBERON:mouth	97	urban biome	human-associated habitat		USA	700105240	39	-77	V1-V3	Oral swab	WUGSC	Structure, function and diversity of the healthy human microbiome (V13)
1927.SRS055988.SRX020549.SRR046487	Sample 1927.SRS055988.SRX020549.SRR046487			UBERON:skin	UBERON:sebum	UBERON:external ear	97	urban biome	human-associated habitat		USA	700106079	39	-77	V1-V3	Skin swab	WUGSC	Structure, function and diversity of the healthy human microbiome (V13)
1927.SRS056008.SRX020683.SRR048356	Sample 1927.SRS056008.SRX020683.SRR048356			UBERON:skin	UBERON:sebum	UBERON:skin of elbow	97	urban biome	human-associated habitat		USA	700102956	39	-77	V1-V3	Skin swab	BCM	Structure, function and diversity of the healthy human microbiome (V13)
1927.SRS056028.SRX020568.SRR046861	Sample 1927.SRS056028.SRX020568.SRR046861			UBERON:oral cavity	UBERON:saliva	UBERON:palatine tonsil	97	urban biome	human-associated habitat		USA	700106426	39	-77	V1-V3	Oral swab	WUGSC	Structure, function and diversity of the healthy human microbiome (V13)
1927.SRS056044.SRX022225.SRR058088	Sample 1927.SRS056044.SRX022225.SRR058088			UBERON:skin	UBERON:sebum	UBERON:skin of elbow	97	urban biome	human-associated habitat		USA	700110040	39	-77	V3-V1	Skin swab	JCVI	Structure, function and diversity of the healthy human microbiome (V13)
1927.SRS056067.SRX020549.SRR046498	Sample 1927.SRS056067.SRX020549.SRR046498			UBERON:skin	UBERON:sebum	UBERON:external ear	97	urban biome	human-associated habitat		USA	700106261	39	-77	V1-V3	Skin swab	WUGSC	Structure, function and diversity of the healthy human microbiome (V13)
1927.SRS056107.SRX022244.SRR058107	Sample 1927.SRS056107.SRX022244.SRR058107			UBERON:skin	UBERON:sebum	UBERON:external ear	97	urban biome	human-associated habitat		USA	700109798	39	-77	V3-V1	Skin swab	JCVI	Structure, function and diversity of the healthy human microbiome (V13)
1927.SRS056140.SRX020670.SRR046246	Sample 1927.SRS056140.SRX020670.SRR046246			UBERON:oral cavity	UBERON:saliva	UBERON:palatine tonsil	97	urban biome	human-associated habitat		USA	700103460	39	-77	V1-V3	Oral swab	WUGSC	Structure, function and diversity of the healthy human microbiome (V13)
1927.SRS056153.SRX022156.SRR058115	Sample 1927.SRS056153.SRX022156.SRR058115			UBERON:oral cavity	UBERON:saliva	UBERON:hard palate	97	urban biome	human-associated habitat		USA	700110389	39	-77	V3-V1	Oral swab	JCVI	Structure, function and diversity of the healthy human microbiome (V13)
1927.SRS056170.SRX020514.SRR046801	Sample 1927.SRS056170.SRX020514.SRR046801			UBERON:oral cavity	UBERON:saliva	UBERON:palatine tonsil	97	urban biome	human-associated habitat		USA	700106737	39	-77	V1-V3	Oral swab	WUGSC	Structure, function and diversity of the healthy human microbiome (V13)
1927.SRS056170.SRX020550.SRR046435	Sample 1927.SRS056170.SRX020550.SRR046435			UBERON:oral cavity	UBERON:saliva	UBERON:palatine tonsil	97	urban biome	human-associated habitat		USA	700106737	39	-77	V1-V3	Oral swab	WUGSC	Structure, function and diversity of the healthy human microbiome (V13)
1927.SRS056207.SRX020540.SRR047281	Sample 1927.SRS056207.SRX020540.SRR047281			UBERON:vagina	UBERON:mucus	UBERON:posterior fornix of vagina	97	urban biome	human-associated habitat		USA	700105998	39	-77	V1-V3	Vaginal swab	WUGSC	Structure, function and diversity of the healthy human microbiome (V13)
1927.SRS056219.SRX022156.SRR058115	Sample 1927.SRS056219.SRX022156.SRR058115			UBERON:oral cavity	UBERON:saliva	UBERON:tongue	97	urban biome	human-associated habitat		USA	700109417	39	-77	V3-V1	Oral swab	JCVI	Structure, function and diversity of the healthy human microbiome (V13)
1927.SRS056240.SRX020567.SRR046718	Sample 1927.SRS056240.SRX020567.SRR046718			UBERON:skin	UBERON:sebum	UBERON:external ear	97	urban biome	human-associated habitat		USA	700105003	39	-77	V1-V3	Skin swab	WUGSC	Structure, function and diversity of the healthy human microbiome (V13)
1927.SRS056259.SRX020578.SRR047235	Sample 1927.SRS056259.SRX020578.SRR047235			Colon	UBERON:feces	Colon	97	urban biome	human-associated habitat		USA	700105306	39	-77	V1-V3	Stool	WUGSC	Structure, function and diversity of the healthy human microbiome (V13)
1927.SRS056286.SRX022241.SRR058097	Sample 1927.SRS056286.SRX022241.SRR058097			UBERON:vagina	UBERON:mucus	UBERON:central vagina	97	urban biome	human-associated habitat		USA	700109017	39	-77	V3-V1	Vaginal swab	JCVI	Structure, function and diversity of the healthy human microbiome (V13)
